index_relation,basic query_related,object details_related,environment details_related,basic query_unrelated,object details_unrelated,environment details_unrelated
A_and_B,a single cup and a single plate,a single porcelain antique tea cup and a single hand-painted ceramic plate,"a single cup and a single plate, in a brightly lit dining room",a single apple and a single shoe,a single fresh round red apple and a single white leather heel shoe,"a single apple and a single shoe, in a luxurious bathroom"
A_left of_B,a single cup is situated left of a single plate,a single porcelain antique tea cup is situated left of a single hand-painted ceramic plate,"a single cup is situated left of a single plate, in a brightly lit dining room",a single apple is situated left of a single shoe,a single fresh round red apple is situated left of a single white leather heel shoe,"a single apple is situated left of a single shoe, in a luxurious bathroom"
A_right of_B,a single cup is situated right of a single plate,a single porcelain antique tea cup is situated right of a single hand-painted ceramic plate,"a single cup is situated right of a single plate, in a brightly lit dining room",a single apple is situated right of a single shoe,a single fresh round red apple is situated right of a single white leather heel shoe,"a single apple is situated right of a single shoe, in a luxurious bathroom"
A_in front of_B,a single cup is situated in front of a single plate,a single porcelain antique tea cup is situated in front of a single hand-painted ceramic plate,"a single cup is situated in front of a single plate, in a brightly lit dining room",a single apple is situated in front of a single shoe,a single fresh round red apple is situated in front a single white leather heel shoe,"a single apple is situated in front of a single shoe, in a luxurious bathroom"
A_behind_B,a single cup is situated behind a single plate,a single porcelain antique tea cup is situated behind a single hand-painted ceramic plate,"a single cup is situated behind a single plate, in a brightly lit dining room",a single apple is situated behind a single shoe,a single fresh round red apple is situated behind a single white leather heel shoe,"a single apple is situated behind a single shoe, in a luxurious bathroom"
B_and_A,a single plate and a single cup,a single hand-painted ceramic plate and a single porcelain antique tea cup,"a single plate and a single cup, in a brightly lit dining room",a single shoe and a single apple,a single white leather heel shoe and a single fresh round red apple,"a single shoe and a single apple, in a luxurious bathroom"
B_left of_A,a single plate is situated left of a single cup,a single hand-painted ceramic plate is situated left of a single porcelain antique tea cup,"a single plate is situated left of a single cup, in a brightly lit dining room",a single shoe is situated left of a single apple,a single white leather heel shoe is situated left of a single fresh round red apple,"a single shoe is situated left of a single apple, in a luxurious bathroom"
B_right of_A,a single plate is situated right of a single cup,a single hand-painted ceramic plate is situated right of a single porcelain antique tea cup,"a single plate is situated right of a single cup, in a brightly lit dining room",a single shoe is situated right of a single apple,a single white leather heel shoe is situated right of a single fresh round red apple,"a single shoe is situated right of a single apple, in a luxurious bathroom"
B_in front of_A,a single plate is situated in front of a single cup,a single hand-painted ceramic plate is situated in front of a single porcelain antique tea cup,"a single plate is situated in front of a single cup, in a brightly lit dining room",a single shoe is situated in front of a single apple,a single white leather heel shoe is situated in front of a single fresh round red apple,"a single shoe is situated in front a single apple, in a luxurious bathroom"
B_behind_A,a single plate is situated behind a single cup,a single hand-painted ceramic plate is situated behind a single porcelain antique tea cup,"a single plate is situated behind a single cup, in a brightly lit dining room",a single shoe is situated behind a single apple,a single white leather heel shoe is situated behind a single fresh round red apple,"a single shoe is situated behind a single apple, in a luxurious bathroom"